UNITID,AGENCY,FIRENAME,FIRENUM,STARTDATE,PERIMDATE,ACRES,YEAR,CAUSE,SHAPE_AREA,SHAPE_LEN
WAOWF,OKAN-WEN NF,FRENCH CABIN CREEK,589,2012-09-10,2012-09-24,42.73913369,2012,LIGHTNING,1861709.21678,6192.76621206
WAOWF,OKAN-WEN NF,FIRST CREEK,573,2012-09-09,2012-09-25,1361.00014754,2012,LIGHTNING,59284929.2863,64596.0447332
WAOWF,OKAN-WEN NF,MAVERICK,612,2012-09-11,2012-09-27,20.54254177,2012,LIGHTNING,894829.540096,4392.58890289
WAOWF,OKAN-WEN NF,GOAT,649,2012-09-15,2012-09-26,7377.6025074,2012,MISCELLANEOUS,321367079.75,114677.215902
WAOWF,OKAN-WEN NF,POISON CANYON,470,2012-09-08,2012-09-29,5931.40079488,2012,LIGHTNING,258370785.139,87919.8133591
WAOWF,OKAN-WEN NF,CANYON,559,2012-09-09,2012-09-29,7557.52421717,2012,LIGHTNING,329204438.078,114918.867088
WAOWF,OKAN-WEN NF,WHITE PINE,655,2012-09-11,2012-09-30,60.85919638,2012,LIGHTNING,2651015.99039,7027.3584128
WAOWF,OKAN-WEN NF,CASHMERE,548,2012-09-09,2012-10-06,2791.69448074,2012,UNKNOWN,121605725.157,90124.357685
WAOWF,OKAN-WEN NF,PYRAMID,510,2012-09-09,2012-10-06,1906.12772526,2012,LIGHTNING,83030591.5889,44616.6276745
WAOWF,OKAN-WEN NF,KLONE PEAK,507,2012-09-09,2012-10-06,1506.49192302,2012,LIGHTNING,65622525.6759,50631.2109521
WAOWF,OKAN-WEN NF,BASALT PEAK,620,2012-09-12,2012-10-06,1261.05014419,2012,UNKNOWN,54931124.556,38232.7281296
WAOWF,OKAN-WEN NF,CUITIN LAKE,656,2012-09-11,2012-10-06,309.12280753,2012,LIGHTNING,13465335.6347,25045.2609577
WAOWF,OKAN-WEN NF,SEARS CREEK,511,2012-09-09,2012-10-06,656.20735759,2012,UNKNOWN,28584278.1592,28675.8100469
WAOWF,OKAN-WEN NF,PEAVINE CANYON,482,2012-09-08,2012-10-06,19997.98138104,2012,LIGHTNING,871108584.513,238886.544469
WASPS,WA DNR - SPS REGION,POWERLINE #2,066,2012-10-04,2012-10-06,229.4779795,2012,ARSON,9996020.80282,19724.5705055
WAOWF,OKAN-WEN NF,TABLE MOUNTAIN FIRE,642,2012-09-15,2012-10-06,42481.23861478,2012,LIGHTNING,1850475352.14,324172.530572
WACOA,COLVILLE AGENCY,ST MARY'S MISSION ROAD,012198,2012-10-02,2012-10-10,16853.18303864,2012,UNKNOWN,734121716.668,273642.706281
WAGPF,GIFFORD PINCHOT NF,CASCADE CREEK,563,2012-09-09,2012-10-07,20096.32065296,2012,LIGHTNING,875392226.064,293816.22062
WACOF,COLVILLE NF,RADIO,1010,2012-09-11,2012-10-01,190.95832857,2012,LIGHTNING,8318111.51982,12094.9700444
WAGPF,GIFFORD PINCHOT NF,SOUTH POINT,628,2012-09-19,2012-10-09,336.81498277,2012,UNKNOWN,14671601.9628,18678.7479126
WASES,WA DNR - SE REGION,FOSTER CREEK,0184,2012-07-12,2012-07-16,1294.12726798,2012,LIGHTNING,56371958.3048,62912.3391585
WASES,WA DNR - SE REGION,QUILOMENE,170,2012-07-12,2012-07-17,156.93495816,2012,LIGHTNING,6836059.43298,19648.8322701
WASES,WA DNR - SE REGION,LITTTLE PARKE CREEK,433,2012-09-05,2012-09-07,692.94103598,2012,RECREATION,30184390.7894,37334.4695672
WACOA,COLVILLE AGENCY,METEOR,048,2012-04-11,2012-11-19,210.58514453,2012,UNKNOWN,9173052.20362,13425.5041306
WACOA,COLVILLE AGENCY,SOUTH OMAK LAKE,106,2012-07-13,2012-11-19,1002.99843724,2012,UNKNOWN,43690437.1638,53397.7662716
WAYAA,BIA - YAKIMA,NORTH AHTANUM,118,2012-08-31,2012-09-02,1661.10995281,2012,UNKNOWN,72357660.1131,45683.1439796
WASPD,SPOKANE BLM,CACHE BUTTE,50156,2012-07-10,2012-07-10,470.30298593,2012,UNKNOWN,20486316.1214,19173.0913292
WASPD,SPOKANE BLM,CRANE ROAD,302,2012-08-01,2012-08-01,11131.87513842,2012,UNKNOWN,484902541.414,128842.65744
WASPD,SPOKANE BLM,WASHOUT,50111,2012-06-30,2012-06-30,595.70041073,2012,UNKNOWN,25948606.0968,42328.7593999
WAGPF,GIFFORD PINCHOT NF,COLD SPRINGS,005,2008-07-12,2008-07-20,7982.99113452,2008,LIGHTNING,347737702.865,102604.890331
WAOLS,WA DNR - OLY REGION,BECKETT POINT,UNKNOWN,2011-09-05,2011-09-05,19.08746161,2011,UNKNOWN,831446.502129,6054.27336799
WASPS,WA DNR - SPS REGION,CALIFORNIA RD,UNKNOWN,2011-08-14,2011-08-14,0.40223456,2011,UNKNOWN,17521.2671365,807.222178912
WAWFS,WA FIRE SERVICE,BELL PLAIN,UNKNOWN,2011-09-05,2011-09-05,3951.88057295,2011,UNKNOWN,172143229.183,159420.425074
WASPD,SPOKANE BLM,241-BLM,245,2012-07-19,2012-07-19,4614.20558781,2012,UNKNOWN,200993991.427,93659.8554773
WASPD,SPOKANE BLM,ANTOINE 2,50310,2012-08-05,2012-08-08,6838.65621357,2012,UNKNOWN,297890673.097,92506.9642937
WACOA,COLVILLE AGENCY,BUFFALO LAKE ROAD,148,2012-08-15,2012-08-18,11307.50802329,2012,LIGHTNING,492553079.276,180204.482941
WASPD,SPOKANE BLM,DEATH WIND CANYON,50368,2012-08-19,2012-08-19,824.0437755,2012,LIGHTNING,35895203.2797,34888.8790002
WASES,WA DNR - SE REGION,TAYLOR BRIDGE,064,2012-08-13,2012-08-22,23501.08189576,2012,MISCELLANEOUS,1023703032.55,290684.113383
WAYAA,BIA - YAKIMA,DIAMOND BUTTE,108,2012-08-19,2012-08-24,284.42605119,2012,UNKNOWN,12389549.2315,25796.4447641
WASPD,SPOKANE BLM,ROOSEVELT,119,2012-07-03,2012-07-06,2826.61213127,2012,MISCELLANEOUS,123126731.93,61801.2351757
ORWWF,WALLOWA-WHITMAN NF,CACHE CREEK,742,2012-08-21,2012-09-04,73694.73896911,2012,UNKNOWN,3210129988.94,464900.460586
WASES,WA DNR - SE REGION,HIGHWAY 141,430,2012-09-05,2012-09-09,1635.84274497,2012,UNKNOWN,71257024.942,62677.3216609
