,LAT,LON,PLOT
310,46.118207,-117.647398,64093
311,46.07956,-122.692176,62314
312,47.043297,-123.235919,94068
313,48.995131,-121.686571,85990
314,48.995936,-121.118078,93049
315,45.674212,-122.090178,95159
316,47.915461,-122.938618,80297
317,48.346516,-121.264894,83059
318,46.289026,-117.773749,99841
319,48.35334,-121.95072,71023
320,46.770726,-120.089048,71438
321,47.063128,-118.552339,79444
322,45.708891,-121.826744,73355
323,47.402304,-117.713293,86292
324,46.283627,-117.406271,86557
325,47.142673,-119.96808,63509
326,47.009921,-124.149388,65502
327,47.632386,-117.171523,97829
328,48.34686,-119.759542,75517
329,48.204641,-119.935362,67266
330,47.739021,-121.16831,86100
331,47.3204,-117.496606,90371
332,47.402854,-119.797113,67527
333,48.590404,-120.879496,85342
334,46.838379,-122.722755,50399
335,47.526086,-122.147609,96174
336,46.786222,-119.00605,82824
337,46.75357,-119.709295,63222
338,45.844373,-122.498023,57213
339,48.652513,-122.394394,73954
340,48.270727,-121.723673,53408
341,47.55054,-117.214248,95107
342,46.559665,-119.496965,72169
343,46.795351,-118.130736,92278
344,46.553259,-117.245505,94168
345,47.790925,-122.543017,80390
346,47.778033,-122.880287,69490
347,47.575197,-123.189166,67637
348,46.357531,-120.163825,52218
349,47.616155,-120.72678,69595
350,46.308043,-118.947491,81906
351,46.273886,-118.771156,77812
352,46.230715,-117.210915,69308
353,45.876668,-120.091029,82298
354,48.034619,-120.241481,51985
355,46.440652,-123.520959,66578
356,47.843901,-120.552036,50815
357,46.081942,-119.94696,84132
358,48.318933,-120.65702,54891
359,47.365636,-117.33784,61557
360,47.267875,-118.534333,78392
361,46.531486,-120.720856,66161
362,46.480841,-120.864317,92719
363,46.489248,-117.756402,66934
364,46.286414,-119.287275,54498
365,46.442283,-121.23043,98315
366,46.541321,-120.361373,77203
367,47.098233,-121.34633,64392
368,48.779938,-122.751477,50452
369,46.092869,-119.094005,63892
370,48.649282,-122.318496,74885
371,48.354565,-121.572971,64404
372,48.116276,-123.154118,85428
373,46.932654,-121.8465,78865
374,48.944143,-122.769582,55203
375,48.013717,-119.029183,60500
376,48.102555,-117.942638,70726
377,47.185556,-119.93901,53751
378,47.249416,-118.882656,66294
379,47.225889,-119.244626,87626
380,46.114415,-118.74608,84271
381,48.786277,-118.544078,75262
382,48.087886,-124.780228,50830
383,46.053738,-122.21662,84218
384,48.20026,-121.568512,77202
385,46.589621,-119.673524,98214
386,46.035681,-117.00745,77621
387,46.08346,-117.200556,78565
388,45.797146,-121.983808,53877
389,45.753151,-121.569542,75694
390,47.915673,-121.63163,59433
391,47.909414,-121.506264,86597
392,48.29126,-117.575589,89598
393,46.768282,-119.344806,89922
394,45.943897,-119.592081,89759
395,46.334912,-117.414907,68547
396,47.653241,-124.48716,50843
397,47.163277,-122.971756,50581
398,46.687253,-124.07898,50747
399,48.796367,-122.940228,50456
400,48.488116,-117.795871,85586
401,48.642387,-117.793885,70293
402,46.018275,-117.378351,52961
403,48.591745,-123.060289,50468
404,48.452498,-122.681182,50357
405,47.863113,-122.393092,50379
