LAT,LON,PLOT,INVYR,STATECD,UNITCD,COUNTYCD
47.749109,-122.925499,"98178","2008","53","6","31"
47.529013,-123.182144,"70644","2009","53","6","45"
47.872197,-123.07166,"95865","2008","53","6","9"
47.597784,-123.11119,"55263","2008","53","6","45"
47.524148,-123.259891,"53263","2010","53","6","45"
47.61047,-122.999672,"93063","2010","53","6","45"
47.720159,-122.98122,"96279","2011","53","6","31"
47.966031,-123.1849,"99851","2012","53","6","9"
47.470346,-123.227843,"52122","2008","53","6","45"
47.382079,-123.259937,"93238","2013","53","6","45"
47.328456,-123.157048,"99682","2009","53","6","45"
47.301649,-123.129745,"95203","2010","53","6","45"
48.038315,-123.211667,"57443","2007","53","6","9"
47.477464,-123.150616,"99333","2010","53","6","45"
47.614971,-123.217534,"75613","2008","53","6","31"
47.44818,-123.281881,"62075","2006","53","6","45"
47.504887,-123.152633,"73924","2011","53","6","45"
47.604713,-123.210439,"86664","2013","53","6","45"
47.624575,-123.115611,"84413","2012","53","6","31"
47.572838,-123.246916,"54026","2012","53","6","45"
47.428243,-123.257907,"93469","2012","53","6","45"
47.525434,-123.213662,"92280","2013","53","6","45"
47.55206,-123.216674,"77252","2010","53","6","45"
47.576738,-123.144014,"76116","2010","53","6","45"
47.35502,-123.252081,"53381","2010","53","6","45"
47.502841,-123.216471,"70792","2010","53","6","45"
47.749079,-122.888998,"96044","2010","53","6","31"
47.379666,-123.275859,"89024","2011","53","6","45"
47.400719,-123.283473,"66972","2012","53","6","45"
47.72457,-122.998487,"80749","2010","53","6","31"
47.778033,-122.880287,"69490","2014","53","6","31"
47.60134,-123.18048,"75685","2011","53","6","45"
47.970535,-123.218424,"87469","2011","53","6","9"
47.40424,-123.252316,"65191","2011","53","6","45"
47.644029,-122.973697,"93117","2012","53","6","31"
47.772588,-122.928333,"77990","2011","53","6","31"
48.01569,-123.237898,"95464","2011","53","6","9"
47.430087,-123.159087,"61947","2014","53","6","45"
47.381984,-123.218705,"55331","2013","53","6","45"
47.575197,-123.189166,"67637","2014","53","6","45"
48.015223,-123.078792,"80009","2015","53","6","9"
47.847414,-123.044238,"97547","2015","53","6","31"
47.504435,-123.246873,"93511","2015","53","6","45"
47.623532,-123.025852,"73310","2014","53","6","31"
47.553344,-123.136679,"66423","2014","53","6","45"
47.526085,-123.15132,"68289","2016","53","6","45"
47.544998,-123.178824,"59554","2015","53","6","45"
47.846051,-123.033056,"69588","2015","53","6","31"
47.719237,-122.940434,"92989","2013","53","6","31"
48.017658,-123.160571,"69583","2013","53","6","9"
47.817936,-123.103579,"59900","2013","53","6","31"
47.72457,-122.998487,"80749","2020","53","6","31"
47.749079,-122.888998,"96044","2020","53","6","31"
47.379666,-123.275859,"89024","2021","53","6","45"
47.504887,-123.152633,"73924","2021","53","6","45"
47.428998,-123.284153,"52775","2017","53","6","45"
47.872197,-123.07166,"95865","2018","53","6","9"
47.720159,-122.98122,"96279","2021","53","6","31"
47.576738,-123.144014,"76116","2020","53","6","45"
47.970535,-123.218424,"87469","2021","53","6","9"
47.772588,-122.928333,"77990","2021","53","6","31"
47.40424,-123.252316,"65191","2021","53","6","45"
47.477073,-123.29392,"67513","2017","53","6","45"
47.35502,-123.252081,"53381","2020","53","6","45"
47.55206,-123.216674,"77252","2020","53","6","45"
47.502841,-123.216471,"70792","2020","53","6","45"
47.60134,-123.18048,"75685","2021","53","6","45"
48.01569,-123.237898,"95464","2021","53","6","9"
47.301649,-123.129745,"95203","2020","53","6","45"
47.866714,-122.939839,"95501","2019","53","6","31"
47.577745,-123.009087,"60970","2019","53","6","45"
47.529013,-123.182144,"70644","2019","53","6","45"
47.328456,-123.157048,"99682","2019","53","6","45"
47.581559,-123.214108,"91364","2017","53","6","45"
47.477464,-123.150616,"99333","2020","53","6","45"
47.524148,-123.259891,"53263","2020","53","6","45"
47.61047,-122.999672,"93063","2020","53","6","45"
47.600139,-123.152526,"73467","2016","53","6","45"
47.569742,-123.085321,"57809","2017","53","6","45"
47.522592,-123.074458,"56610","2018","53","6","45"
47.602248,-123.076262,"97546","2018","53","6","45"
47.470346,-123.227843,"52122","2018","53","6","45"
47.307289,-123.188829,"51920","2018","53","6","45"
47.614971,-123.217534,"75613","2018","53","6","31"
47.330033,-123.238965,"85970","2017","53","6","45"
47.597784,-123.11119,"55263","2018","53","6","45"
47.749109,-122.925499,"98178","2018","53","6","31"
48.038315,-123.211667,"57443","2017","53","6","9"
47.44818,-123.281881,"62075","2016","53","6","45"
47.554535,-123.107933,"2","2001","53","6","45"
47.467876,-123.168488,"7","2001","53","6","45"
47.386765,-123.169319,"17","2001","53","6","45"
47.390095,-123.25238,"18","2001","53","6","45"
47.322598,-123.240707,"39","2001","53","6","45"
48.021481,-123.174904,"66","2001","53","6","9"
47.793427,-122.888504,"37","2001","53","6","31"
46.239567,-121.971594,"86348","2002","53","7","59"
46.093578,-121.931734,"92895","2002","53","7","59"
46.164354,-121.966757,"54268","2002","53","7","59"
46.145399,-121.794034,"61657","2002","53","7","59"
