field_1,LAT,LON,PLOT,UNQE_FIRE_,FEATURE_CA,GIS_ACRES,FIRE_YEAR_
"9459",46.596508999999998,-120.138756999999998,"96450",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"10243",46.439028000000000,-120.116685000000004,"88632",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"10700",46.562761999999999,-120.168156999999994,"96820",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"10928",46.565716000000002,-120.093675000000005,"68555",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"12184",46.443185000000000,-120.038177000000005,"54087",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"14721",46.439028000000000,-120.116685000000004,"88632",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"14974",46.596508999999998,-120.138756999999998,"96450",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"15174",46.562761999999999,-120.168156999999994,"96820",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"16513",46.520493000000002,-120.055097000000004,"50219",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"17567",46.489770999999998,-120.097479000000007,"56026",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"19135",46.594442999999998,-120.202188000000007,"54866",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"19578",46.521782000000002,-120.111588999999995,"51928",2016-WASPD-500344,Wildfire,69707.389999999999418,"2016"
"3247",46.717036999999998,-119.592500999999999,"93127",2015-WAHFR-JU4Q,Wildfire,14045.600000000000364,"2015"
"8029",46.675637000000002,-119.619834999999995,"59793",2015-WAHFR-JU4Q,Wildfire,14045.600000000000364,"2015"
"8632",46.712404999999997,-119.653245999999996,"58455",2015-WAHFR-JU4Q,Wildfire,14045.600000000000364,"2015"
"8814",46.717036999999998,-119.592500999999999,"93127",2015-WAHFR-JU4Q,Wildfire,14045.600000000000364,"2015"
"15209",46.712404999999997,-119.653245999999996,"58455",2015-WAHFR-JU4Q,Wildfire,14045.600000000000364,"2015"
"16638",46.675637000000002,-119.619834999999995,"59793",2015-WAHFR-JU4Q,Wildfire,14045.600000000000364,"2015"
"5867",46.522084000000000,-120.192712999999998,"77657",2016-WAHFR-KJ14,Wildfire,176834.499999999970896,"2016"
"12747",46.522084000000000,-120.192712999999998,"77657",2016-WAHFR-KJ14,Wildfire,176834.499999999970896,"2016"
"9719",46.674548999999999,-119.684105000000002,"94308",2018-WAHFR-L0Y9,Wildfire,22316.900000000001455,"2018"
"17848",46.674548999999999,-119.684105000000002,"94308",2018-WAHFR-L0Y9,Wildfire,22316.900000000001455,"2018"
"315",45.674211999999997,-122.090177999999995,"95159",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"410",45.709009000000002,-122.136556999999996,"79888",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"940",45.622605000000000,-122.326733000000004,"98228",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"1053",45.754719999999999,-122.229747000000003,"90648",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"1079",45.791041999999997,-122.142501999999993,"74333",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"1125",45.648909000000003,-122.283118000000002,"77259",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"1237",45.747960999999997,-122.347466999999995,"89580",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"1365",45.696584999999999,-122.202961999999999,"73253",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"1366",45.748488999999999,-121.864431999999994,"78827",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"1374",45.749743000000002,-122.071966000000003,"80226",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"1620",45.800069000000001,-122.230326000000005,"77555",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"2827",45.777636999999999,-122.184486000000007,"98502",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"2865",45.826504999999997,-122.229292000000001,"57204",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"3810",45.810634000000000,-122.289023999999998,"71911",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"4322",45.850752999999997,-122.223301000000006,"59324",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"4405",45.851641000000001,-122.190456999999995,"62800",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"4429",45.671872000000000,-122.158236000000002,"84324",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"4431",45.799056999999998,-122.050983000000002,"74226",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"4588",45.851574999999997,-122.344117999999995,"52689",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"4590",45.747180000000000,-121.998665000000003,"89166",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"4593",45.751280999999999,-122.183707999999996,"64383",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"4597",45.710737999999999,-122.349699999999999,"85171",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"4631",45.752211000000003,-122.259320000000002,"92175",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
"4633",45.849960000000003,-122.409295999999998,"81829",,Wildfire Final Fire Perimeter,204176.499999999970896,"1902"
